-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| countryName              | Numero1            | pourcent1                   | Numero2            | pourcent2                   | Numero3            | pourcent3                   |
=====================================================================================================================================================================================
| "France"                 | "PIB"              | 22.212410453318745242113900 | "Famille"          | 21.542640027245267372872700 | "Esperence de vie" | 13.108752922774214263967800 |
| "Brazil"                 | "Famille"          | 21.572056596077014876526900 | "PIB"              | 16.68957305576214170048800  | "Esperence de vie" | 9.292423988494378214509100  |
| "NewZealand"             | "Famille"          | 21.167556688791774139341800 | "PIB"              | 19.219387791691137139748300 | "Esperence de vie" | 11.167072614983007969341200 |
| "Argentina"              | "Famille"          | 21.828324748722931648314100 | "PIB"              | 17.96174369934014591670900  | "Esperence de vie" | 10.533976147014114588356600 |
| "Niger"                  | "Famille"          | 24.653054492497493631097700 | "Esperence de vie" | 6.665963633707608544045200  | "PIB"              | 4.019993437569847349085600  |
| "Slovakia"               | "Famille"          | 24.681194326154052361435600 | "PIB"              | 21.734889255000951600835100 | "Esperence de vie" | 11.687978112721084967753600 |
| "BosniaandHerzegovina"   | "Famille"          | 20.63558287221590788173500  | "PIB"              | 18.958112451853878704885300 | "Esperence de vie" | 13.608380656643927036682600 |
| "Mauritania"             | "Famille"          | 29.637252671265862041214100 | "PIB"              | 15.108511565856852578437700 | "Esperence de vie" | 6.648399156935869612848500  |
| "Poland"                 | "Famille"          | 24.204117835697328003158100 | "PIB"              | 21.627119572285152463357200 | "Esperence de vie" | 11.710620160527998155373500 |
| "Ethiopia"               | "Famille"          | 19.387201712166143027365300 | "Esperence de vie" | 7.92398440635592030723600   | "PIB"              | 7.606139967955696597890800  |
| "Sudan"                  | "Famille"          | 29.33096370185094527583100  | "PIB"              | 15.934203959580258068522400 | "Esperence de vie" | 7.028770913324633316770900  |
| "Syria"                  | "PIB"              | 22.448098160692168010610800 | "Esperence de vie" | 14.457924835476004541577600 | "Famille"          | 11.441439037290264171088900 |
| "PalestinianTerritories" | "Famille"          | 24.202034252186008920847800 | "PIB"              | 14.99998352290482123104100  | "Esperence de vie" | 11.846428529700870459423900 |
| "Uganda"                 | "Famille"          | 27.685071771531350852651300 | "PIB"              | 9.346501573819738906440300  | "Esperence de vie" | 5.332825644679535131776700  |
| "Malaysia"               | "PIB"              | 21.223132746399416125511800 | "Famille"          | 21.115154682475715444183300 | "Esperence de vie" | 10.170684030101556695512500 |
| "Japan"                  | "Famille"          | 24.262463008874638568254800 | "PIB"              | 23.934377703352497334342800 | "Esperence de vie" | 15.430335461380212470647100 |
| "Afghanistan"            | "Famille"          | 15.327974172870090310191500 | "PIB"              | 10.581898449141780024699500 | "Esperence de vie" | 4.764016423735058058021700  |
| "Congo(Kinshasa)"        | "Famille"          | 28.71549991415825784703600  | "Esperence de vie" | 4.472126529847829855467500  | "PIB"              | 2.151923931999014135928600  |
| "Libya"                  | "Famille"          | 24.57129966819896812380300  | "PIB"              | 19.942136567022748759098200 | "Esperence de vie" | 9.414823723446544360519800  |
| "HongKongS.A.R.,China"   | "PIB"              | 28.356630267168193116117600 | "Famille"          | 23.077318899482187129267200 | "Esperence de vie" | 17.234327551566738512190600 |
| "Haiti"                  | "Famille"          | 17.775460315613809690102100 | "PIB"              | 10.23064863949543938015300  | "Esperence de vie" | 7.696950756669663379429200  |
| "Philippines"            | "Famille"          | 23.092405424000954438948200 | "PIB"              | 15.795566160718726524913100 | "Esperence de vie" | 8.618951555362949934944800  |
| "Bulgaria"               | "Famille"          | 30.428073609330398183820500 | "PIB"              | 24.638503030808780011568900 | "Esperence de vie" | 15.023709092932151519254600 |
| "Germany"                | "PIB"              | 21.405888907852931023347400 | "Famille"          | 21.184294434691038809275500 | "Esperence de vie" | 11.494039810104799157530100 |
| "Tajikistan"             | "Famille"          | 25.222442032501174613116800 | "Esperence de vie" | 10.498614088518804176072300 | "PIB"              | 10.408919796858470821190300 |
| "Kyrgyzstan"             | "Famille"          | 27.862480797632964165609600 | "PIB"              | 11.914869180912135726647200 | "Esperence de vie" | 11.060307272176135977737800 |
| "Botswana"               | "Famille"          | 32.43640425028275696571400  | "PIB"              | 29.795383555410986163740700 | "Esperence de vie" | 9.074761190494982376920700  |
